ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Authors,DataEntry,Consultants,Representations,alt_names,date
61,Aghul,aghu1253,Aghul,agx,Eurasia,41.9242,47.5843,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Aghulshuy;Agul;Aguly,2014-01-23
62,Archi (variety 1),arch1244,Archi,aqc,Eurasia,42.3239,46.8267,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Archi;Archin;Archintsy,2014-01-24
63,Budukh,budu1248,Budukh,bdk,Eurasia,41.2272,48.3353,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Budug;Budugi;Buduk;Budux;Bukukhi,2014-01-24
64,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.5157,47.8951,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Kiurinsty;Kiurinty;Lezghi;Lezgi;Lezgin,2014-01-26
65,Lezgi (Mikrakh dialect),lezg1247,Lezgian,lez,Eurasia,41.5157,47.8951,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Dialect;Kiurinsty;Kiurinty;Lezghi;Lezgi;Lezgian;Lezgin;Mikrakh;Mikrax,2014-01-26
66,Rutul,rutu1240,Rutul,rut,Eurasia,41.6187,47.3244,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Chal;Mukhad;Mykhanidy;Rutal;Rutultsy;Rutuly,2014-01-26
67,Tabasaran (Northern dialect Khanag subdialect),taba1259,Tabasaran,tab,Eurasia,42.0198,47.8379,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Dialect;Ghumghum;Khanag;North;Tabasaran;Tabasarantsy;Tabassaran,2014-01-26
68,Tabasaran (Southern dialect),sout2752,South Tabasaran,tab,Eurasia,,,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Dialect;Ghumghum;South;Tabasaran;Tabasarantsy;Tabassaran,2014-01-26
69,Khinalug,khin1240,Khinalug,kjj,Eurasia,41.1801,48.0571,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Khinalugh;Khinalugi;Xinalug,2014-01-26
70,Tsakhur,tsak1249,Tsakhur,tkr,Eurasia,41.5916,46.8858,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Caxur;Sakhur;Tsakhury;Tsaxur,2014-01-26
71,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,40.9777,46.4737,Turkic,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Azerbaijan;Azerbaydzhani;Azeri;Torki;Turk,2014-01-24
72,Kumyk,kumy1244,Kumyk,kum,Eurasia,43.0,47.0,Turkic,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Kumuk;Kumuklar;Kumyki,2014-01-26
73,Nogai,noga1249,Nogai,nog,Eurasia,43.5917,46.6618,Turkic,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Nogaitsy;Nogalar;Nogay;Noghai;Noghay;Noghaylar,2014-01-26
74,Judeo-Tat,jude1256,Judeo-Tat,jdt,Eurasia,42.068306,48.264749,Indo-European,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Bik;Dzhuhuric;Jewish;Judeo-Tatic;Juhuri;Juwri;Tat;Tats,2014-01-26
75,Chechen,chec1245,Chechen,che,Eurasia,43.5,45.5,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Galancho;Muott;Nokchiin;Nokhchiin,2014-01-25
80,Udi,udii1243,Udi,udi,Eurasia,40.9,47.7236,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Udin;Uti,2014-01-26
81,Avar (Kusur dialect),avar1256,Avar,ava,Eurasia,41.7047,46.558,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Avar;Kusur,2014-01-24
107,Avar,avar1256,Avar,ava,Eurasia,41.7047,46.558,Nakh-Daghestanian,Madzhid Khalilov,Claudia Schmidt;Hagen Jung;Stefan Lange,,CyrillTrans;Phonemic,Avaro;Dagestani,2014-01-24
126,Erzya Mordvin,erzy1239,Erzya,myv,Eurasia,52.8548,45.3901,Uralic,Olga Erina,Piret Klesment,,Phonemic,Eriza;Eryza;Erza;Mordvin;Mordvin-Erzya,2007-09-27
127,Estonian,esto1258,Estonian,est,Eurasia,58.55,25.82,Uralic,Margit Kuusk;Ago Künnap;Leon Cosgrove,Leon Cosgrove;Iris Audova,,Phonemic;StandOrth,Eesti;Viro,2021-08-23
128,Finnish,finn1318,Finnish,fin,Eurasia,64.7628,25.5577,Uralic,Margit Kuusk,Piret Klesment,Anja  Pihlajaniemi,Phonemic,Suomea;Suomi,2007-09-27
131,Hungarian,hung1274,Hungarian,hun,Eurasia,46.9068585714,19.6555271429,Uralic,Péter Pomozi;Sirje Volmre,Iris Audova,,Standard;Phonemic,Magyar,2007-09-27
135,Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Eurasia,62.4308,66.1218,Uralic,Nataliya Kochkareva;Nina Lyskova,Piret Klesment,,Phonemic,Hanty;Khanti;Obdorski;Ostjak;Ostyak;Xanty,2007-09-27
139,Komi,komi1268,Komi-Zyrian,kpv,Eurasia,64.0527,54.946,Uralic,Adolf Turkin,Piret Klesment,,Phonemic,,2007-09-27
143,Northern Saami,nort2671,North Saami,sme,Eurasia,68.725,22.1113,Uralic,Axel Jagau;Kulle Kallavus,Iris Audova,Pekka Sammallahti,Phonemic,Davvin;Lapp;Lappish;North;Northern;Norwegian;Ruija;Saame;Saami;Same;Samic,2007-09-27
146,Mansi,mans1258,Northern Mansi,mns,Eurasia,64.4118,61.344,Uralic,Nina Lyskova,Iris Audova,,Phonemic,Mansiy;Vogul;Vogulich;Voguly,2007-09-27
147,Mari,east2328,Eastern Mari,mhr,Eurasia,55.8307,48.405,Uralic,Inna Timiryaeva,Iris Audova,,Phonemic,Cheremis,2007-09-27
148,Nenets,nene1249,Tundra Nenets,yrk,Eurasia,66.1775,71.0234,Uralic,Mariya Barmich,Piret Klesment,,Phonemic,Nenec;Nenetsy;Nentse;Samoyed;Yurak,2007-09-27
151,Selkup,selk1253,Selkup,sel,Eurasia,59.9409,82.3004,Uralic,Arkadiy I. Gashilov,Piret Klesment,,Phonemic,Ostyak;Samoyed;Sel'kup,2007-09-27
159,Udmurt,udmu1245,Udmurt,udm,Eurasia,56.12921,52.63548,Uralic,Lyudmila Karpova,Iris Audova,,Phonemic,Votiak;Votyak,2007-09-27
160,Bezhta,bezh1248,Bezhta,kap,Eurasia,42.1206,46.0332,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Bechitin;Bexita;Bezheta;Bezhita;Bezhti;Kapuch;Kapucha;Kapuchin;Kupuca,2014-01-24
162,Tsez (Mokok dialect),dido1241,Tsez,ddo,Eurasia,42.2646,45.8096,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Cez;Dialect;Dido;Didoi;Mokok;Tsez;Tsezy;Tsuntin,2014-01-26
164,Dargwa (Muiri dialect),darg1241,North-Central Dargwa,dar,Eurasia,42.4257,47.4388,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Dargwa;Dialect;Muiri,2014-01-25
165,Lezgian (Quba dialect),quba1246,Quba (Lezgian),lez,Eurasia,,,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Dialect;Kuba;Lezgi,2014-01-26
166,Azerbaijani (Terekeme dialect),nort2697,North Azerbaijani,azj,Eurasia,40.9777,46.4737,Turkic,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Azerbaijan;Dialect;Terekeme,2014-01-24
167,Ancient Greek,anci1242,Ancient Greek,grc,Eurasia,39.8155,21.9129,Indo-European,Fotis A. Kavoukopoulos,Mary Ritchie Key,,LatinTrans,"Classical Greek;Greek;Greek (Ancient);Greek, Ancient",2007-07-18
168,Modern Greek,mode1248,Modern Greek,ell,Eurasia,38.36,23.13,Indo-European,Maria Tsigou,Mary Ritchie Key,,LatinTrans,"Ellinika;Graecae;Grec;Greco;Greek;Greek (Modern);Greek, Modern;Neo-Hellenic",2007-07-18
169,Latin,lati1261,Latin,lat,Eurasia,41.9026,12.4502,Indo-European,Philip Baldi,Mary Ritchie Key;Mackayla Infante-Wong,,StandardOrth,Latina,2007-07-20
170,Italian,ital1282,Italian,ita,Eurasia,43.0464,12.6489,Indo-European,Martin Maiden,Mary Ritchie Key,,StandardOrth,Italiano,2007-07-20
171,French,stan1290,French,fra,Eurasia,48.0,2.0,Indo-European,various,Mary Ritchie Key,,StandardOrth,Français,2007-07-20
