Grapheme	IPA
^	NULL
$	NULL
a	a
o	o
f	f
t	t
s	s
x	x
m	m
cʼ	cʼ
l	l
č	tʃ
e	e
é	é/e
ĩ	ĩ
i	i
u	u
k	k
n	n
r	r
ʁ	ʁ
ũ	ũ
í	í/i
χ	χ
Φ	ɸ
ɳ	ɳ
ł	ł
ú	ú/u
ó	ó/o
ŭ	ŭ/u
ʊ	ʊ
ð	ð
ɓ	ɓ
ʈ	ʈ
ɗ	ɗ
ĭ	ĭ/i
θ	θ
∅	∅
ě	ě/e
è	è/e
ʀ	ʀ
ɽ	ɽ
ɭ	ɭ
ɟ	ɟ
â	â/a
ì	ì/i
î	î/i
ǎ	ǎ/a
û	û/u
і	i
ʤ	ʤ
ʧ	ʧ
à	à/a
ɪ	ɪ
+	+
œ	œ
ò	ò/o
λ	λ
ę	ę
ϑ	θ
ê	ê/e
ù	ù/u
-	+
.	+
p	p
b	b
q	q
š	ʃ
ʔ	ʔ
c	c
z	z
ŋ	ŋ
ɣ	ɣ
v	v
ə	ə
ɬ	ɬ
ʕ	ʕ
ɔ	ɔ
ƛ	ƛ
æ	æ
ħ	ħ
ɛ	ɛ
ɩ	ɩ
õ	õ
á	á/a
β	β
ɑ	ɑ
ẽ	ẽ
