ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,representations,date,alt_names
143,Northern Saami,,68.725,22.1113,nort2671,sme,Phonemic,2007-09-27,Davvin;Lapp;Lappish;North;Northern;Norwegian;Ruija;Saame;Saami;Same;Samic
64,Lezgian,,41.5157,47.8951,lezg1247,lez,CyrillTrans;Phonemic,2014-01-26,Lezgi;Lezghi;Kiurinty;Kiurinsty;Lezgin;Lezgian
65,Lezgi (Mikrakh dialect),,41.5157,47.8951,lezg1247,lez,CyrillTrans;Phonemic,2014-01-26,Kiurinsty;Dialect;Kiurinty;Lezghi;Lezgi;Lezgian;Lezgin;Mikrakh;Mikrax
146,Mansi,,64.4118,61.344,mans1258,mns,Phonemic,2007-09-27,Mansi;Mansiy;Vogul;Vogulich;Voguly
147,Mari,,55.8307,48.405,east2328,mhr,Phonemic,2007-09-27,Cheremis;Mari
148,Nenets,,66.1775,71.0234,nene1249,yrk,Phonemic,2007-09-27,Nenec;Nenets;Nenetsy;Nentse;Samoyed;Yurak
73,Nogai,,43.5917,46.6618,noga1249,nog,CyrillTrans;Phonemic,2014-01-26,Noghaylar;Noghay;Nogay;Noghai;Nogalar;Nogaitsy;Nogai
66,Rutul,,41.6187,47.3244,rutu1240,rut,CyrillTrans;Phonemic,2014-01-26,Mukhad;Mykhanidy;Rutal;Rutul;Rutuly;Rutultsy;Chal
151,Selkup,,59.9409,82.3004,selk1253,sel,Phonemic,2007-09-27,Ostyak;Samoyed;Sel'kup;Selkup
67,Tabasaran (Northern dialect Khanag subdialect),,42.0198,47.8379,taba1259,tab,CyrillTrans;Phonemic,2014-01-26,Tabassaran;Tabasarantsy;Tabasaran;North;Khanag;Ghumghum;Dialect
68,Tabasaran (Southern dialect),,,,sout2752,,CyrillTrans;Phonemic,2014-01-26,Tabasarantsy;Tabasaran;South;Ghumghum;Dialect;Tabassaran
74,Judeo-Tat,,32.33,34.75,jude1256,jdt,CyrillTrans;Phonemic,2014-01-26,Tats;Juwri;Juhuri;Judeo-Tatic;Judeo-Tat;Jewish;Dzhuhuric;Bik;Tat
50,Tindi,,42.3316,45.9227,tind1238,tin,CyrillTrans;Phonemic,2014-01-26,Tindal;Tindin;Tindi
70,Tsakhur,,41.5916,46.8858,tsak1249,tkr,CyrillTrans;Phonemic,2014-01-26,Tsakhury;Tsakhur;Sakhur;Caxur;Tsaxur
55,Tsez (Sagada dialect),,,,saga1261,,CyrillTrans;Phonemic,2014-01-26,Tsez;Dialect;Cez;Tsuntin;Tsezy;Sagadin;Didoi;Dido
80,Udi,,40.9,47.7236,udii1243,udi,CyrillTrans;Phonemic,2014-01-26,Udi;Uti;Udin
159,Udmurt,,56.1292,52.6355,udmu1245,udm,Phonemic,2007-09-27,Udmurt;Votiak;Votyak
160,Bezhta,,42.1206,46.0332,bezh1248,kap,CyrillTrans;Phonemic,2014-01-24,Bezheta;Bechitin;Bexita;Bezhita;Bezhta;Bezhti;Kapuch;Kapucha;Kapuchin;Kupuca
162,Tsez (Mokok dialect) ,,42.2646,45.8096,dido1241,ddo,CyrillTrans;Phonemic,2014-01-26,Cez;Dialect;Dido;Didoi;Mokok;Tsez;Tsezy;Tsuntin
164,Dargwa (Muiri dialect),,42.4257,47.4388,darg1241,dar,CyrillTrans;Phonemic,2014-01-25,Dialect;Muiri;Dargwa
165,Lezgian (Quba dialect),,,,quba1246,,CyrillTrans;Phonemic,2014-01-26,Lezgi;Dialect;Kuba
166,Azerbaijani (Terekeme dialect),,40.9777,46.4737,nort2697,azj,CyrillTrans;Phonemic,2014-01-24,Dialect;Azerbaijan;Terekeme
167,Ancient Greek ,,39.8155,21.9129,anci1242,grc,LatinTrans,2007-07-18,"Ancient Greek;Classical Greek;Greek (Ancient);Greek;Greek, Ancient"
168,Modern Greek,,42.3224,24.8699,mode1248,ell,LatinTrans,2007-07-18,"Neo-Hellenic;Greco;Grec;Graecae;Greek, Modern;Greek (Modern);Ellinika;Modern Greek;Greek"
169,Latin,,41.9026,12.4502,lati1261,lat,StandardOrth,2007-07-20,Latina;Latin
172,Panare,,6.95035,-65.8483,enap1235,pbh,Phonemic,2007-08-30,Eye;Panari;Panare;Eñepa;Abira
170,Italian,,43.0464,12.6489,ital1282,ita,StandardOrth,2007-07-20,Italiano;Italian
171,French,,48.0,2.0,stan1290,fra,StandardOrth,2007-07-20,Français;French
173,Macushi,,4.31861,-60.2209,macu1259,mbc,Phonemic,2007-08-30,Makuxi;Makusi;Makushi;Teweya;Teueia;Macusi;Macushi
174,De'kwana,,4.70705,-64.3877,maqu1238,mch,Phonemic,2007-08-30,Maquiritare;Pawana;Cunuana;Soto;Maquiritai;De'cuana;Yekuana;Carib (De'kwana);Maquiritari;Ye'cuana;De'kwana Carib;Maiongong
175,Wai Wai,,1.50881,-59.1417,waiw1244,waw,Phonemic,2007-08-30,Wai Wai;Ouayeone;Uaieue;Uaiuai;Waiwai
176,Spanish,,40.4414,-1.11788,stan1288,spa,Phonemic,2007-08-31,Castilian;Spanish;Spanish;Español;Castellano
177,Catalan,,41.8983,3.39375,stan1289,cat,StandardOrth,2007-08-31,Catalan;Català;Catalán;Bacavès;Catalonian
178,Portuguese,,39.91,-8.1,port1283,por,StandardOrth,2007-08-31,Português;Portuguese
179,Romanian,,46.3913,24.2256,roma1327,ron,StandardOrth,2007-09-12,Romanian;Daco-Rumanian;Rumanian
180,Old Irish,,,,oldi1245,sga,StandardOrth,2007-09-12,Irish (Old);Old Irish
181,Irish,,53.2186,-7.61509,iris1253,gle,StandardOrth,2007-09-12,Irish;Gaelic;Erse;Gaeilge
182,Welsh,,52.0,-4.0,wels1247,cym,StandardOrth,2007-09-20,Welsh;Cymraeg
183,Breton,,48.2452,-3.78934,bret1244,bre,Phonemic,2007-09-20,Breton;Brezhoneg
184,Gothic,,46.9304,29.9786,goth1244,got,StandardOrth,2007-09-20,Gothic;Gotisch
185,Old Norse,,,,oldn1244,non,StandardOrth,2007-09-20,Norse (Old);Old Norse
186,Danish,,54.8655,9.36284,dani1285,dan,StandardOrth,2007-09-20,Danish;Dansk
187,Swedish,,59.800634,17.389526,swed1254,swe,StandardOrth,2007-09-20,Ruotsi;Svenska;Swedish
188,Old English,,,,olde1238,ang,StandardOrth,2007-09-20,English (Old);Old English
189,Middle English,,,,midd1317,enm,StandardOrth,2007-09-20,Middle English;English (Middle)
190,English,,53.0,-1.0,stan1293,eng,StandardOrth,2007-09-20,English
191,Dutch,,52.0,5.0,dutc1256,nld,StandardOrth,2007-09-20,Nederlands;Dutch;Hollands
192,Old High German,,,,oldh1241,goh,StandardOrth,2007-09-20,German (Old High);Old High German
193,Middle High German ,,,,midd1343,gmh,StandardOrth,2007-09-20,Middle High German;German (Middle High)
194,German,,48.649,12.4676,stan1295,deu,StandardOrth;Original (M. R. Key),2014-01-25,German;Deutsch
195,Yiddish,,51.75,19.42,east2295,ydd,Phonemic,2007-09-20,Yiddish;Judeo-German;Jiddisch
196,Lithuanian,,55.1429,23.9601,lith1251,lit,StandardOrthTone,2007-09-20,Lithuanian;Litauische;Litewski;Litovskiy;Lietuvi;Lietuviskai
197,Latvian,,56.826108,24.309118,latv1249,lav,StandardOrth,2007-09-20,Latvian;Lettish
198,Old Prussian,,55.56,20.56,prus1238,prg,StandardOrth,2007-09-20,Prussian (Old);Old Prussian
199,Old Church Slavonic,,43.7171,22.8442,chur1257,chu,Phonemic,2007-09-20,Slavonic (Old Church);Old Church Slavonic;Old Church Slavic;Slavic (Old Church)
200,Bulgarian,,43.3646,25.047,bulg1262,bul,Phonemic,2007-09-20,Balgarski;Bulgarian
201,Serbo-Croatian,,,,sout1528,hbs,Phonemic,2007-09-20,Serbo-Croatian;Croatian;Serbian
202,Czech,,49.873398,15.10437,czec1258,ces,StandardOrth,2007-09-20,Czech;Cesky;Česky
203,Polish,,51.8439,18.6255,poli1260,pol,StandardOrth,2007-09-20,Polski;Polish
204,Russian,,59.0,50.0,russ1263,rus,Phonemic,2007-09-20,Russian
205,Albanian (Tosk variety),,41.0,20.0,tosk1239,als,Phonemic,2007-09-20,Shqip;Albanian;Shqiperë;Tosk
206,Armenian (Eastern variety),,,,east2283,,Phonemic,2007-09-20,Հայերէն լեզու Hajeren lesu;Armenian Eastern
207,Armenian (Western variety),,,,west2348,,Phonemic,2007-09-20,Armenian Western;Հայերէն լեզու Hajeren lesu
208,Hittite,,,,hitt1242,hit,LatinTrans,2007-09-20,Nesili;Hittite;Nesite
209,Tocharian A,,,,tokh1242,xto,Phonemic,2007-09-27,Tocharian;Tokharian
210,Tocharian B,,,,tokh1243,txb,Phonemic,2007-09-27,Tocharian;Tokharian
211,Sanskrit,,20.0,77.0,sans1269,san,LatinTrans,2007-09-27,saṃskṛtam;संस्कृतम्;Sanskrit
