ID,Name,Description,Contributors
177,Catalan,,Joan Rafel|Author;Mary Ritchie Key|Data Entry;Native speaker|Consultant
178,Portuguese,,various|Author;Mary Ritchie Key|Data Entry
179,Romanian,,Maria Manoliu-Manea|Author;Mackayla Infante-Wong|Data Entry
180,Old Irish,,Jessica Ellis|Data Entry;Mary Ritchie Key|Author
181,Irish,,Cathal Doherty|Author;Jessica Ellis|Data Entry;Cathal Doherty|Data Entry
182,Welsh,,Andrew Hawke|Author;Mary Ritchie Key|Data Entry;Mackayla Infante-Wong|Data Entry
183,Breton,,Jean Le Dû|Author;Jessica Ellis|Data Entry;Mary Ritchie Key|Data Entry
184,Gothic,,Winfred P. Lehmann|Author;Susan Chapman|Data Entry;Winfred P. Lehmann|Consultant
185,Old Norse,,Mackayla Infante-Wong|Data Entry;Olaf Jansen Westvik|Author
186,Danish,,W. W. Schuhmacher|Author;Mary Ritchie Key|Data Entry
187,Swedish,,Erik V. Gunnemark|Author;Laila Kollmann|Author;Mackayla Infante-Wong|Data Entry;Jan-Åke Alvarsson|Consultant
188,Old English,,Christopher M. Kuipers|Author;Mackayla Infante-Wong|Data Entry;Christopher M. Kuipers|Data Entry
189,Middle English,,Mona Logarbo|Author;Mackayla Infante-Wong|Data Entry
190,English,,various|Author;Stephan Schuetze-Coburn|Data Entry
191,Dutch,,Bernard Bichakjian|Author;Hendrikje Hettema|Author;Jessica Ellis|Data Entry
192,Old High German,,Vincent Miller|Author;Vincent Miller|Data Entry;Mackayla Infante-Wong|Data Entry
193,Middle High German,,William C. Crossgrove|Author;Mackayla Infante-Wong|Data Entry;William C. Crossgrove|Data Entry
194,German,,Meredith Lee|Author;Mary Ritchie Key|Data Entry
195,Yiddish,,Paul Glasser|Author;Mackayla Infante-Wong|Data Entry
196,Lithuanian,,Ramutė Plioplys|Author;S. J. Juozas Vaišnys|Consultant;Sigita Plioplys|Consultant;Kazimieras Plečkaitis|Consultant;William R. Schmalsteig|Consultant;Mackayla Infante-Wong|Data Entry
197,Latvian,,Juris Cibuļs|Author;Mary Ritchie Key|Data Entry
198,Old Prussian,,William R. Schmalstieg|Author;William R. Schmalstieg|Data Entry
199,Old Church Slavonic,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
200,Bulgarian,,Cynthia Vakareliyska|Author;Kevork Horissian|Author;Mary Ritchie Key|Data Entry
201,Serbo-Croatian,,Andrew R. Corin|Author;Mackayla D. Infante-Wong|Data Entry
202,Czech,,Václav Blažek|Author;Mackayla Infante-Wong|Data Entry
203,Polish,,Stanisław Puppel|Author;Mary Ritchie Key|Data Entry;Mackayla Infante-Wong|Data Entry
204,Russian,,Jules F. Levin|Author;Mackayla Infante-Wong|Data Entry
205,Albanian (Tosk variety),,Leonard Newmark|Author;Mary Ritchie Key|Data Entry
206,Armenian (Eastern variety),,Dora Sakayan|Author;Dora Sakayan|Data Entry;Amalia Khatchatrian|Consultant
207,Armenian (Western variety),,Dora Sakayan|Author;Dora Sakayan|Data Entry;Amalia Khatchatrian|Consultant
208,Hittite,,Carol F. Justus|Author;Carol F. Justus|Data Entry
209,Tocharian A,,Douglas Q. Adams|Author;Mary Ritchie Key|Data Entry;Mackayla Infante-Wong|Data Entry
210,Tocharian B,,Douglas Q. Adams|Author;Mary Ritchie Key|Data Entry;Mackayla Infante-Wong|Data Entry
211,Sanskrit,,James A. Santucci|Author;James A. Santucci|Data Entry
212,Romani,,Donald Kenrick|Author;Mackayla D. Infante-Wong|Data Entry
213,Avestan,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
214,Persian,,John R. Perry|Author;Mary Ritchie Key|Data Entry;Herbert H. Paper|Consultant
215,Ancient Aramaic,,Stephen A. Kaufman|Author;Stephen A. Kaufman|Data Entry;Comprehensive Aramaic Lexicon data files|Consultant
216,Elamite,,Václav Blazek|Author;Mary Ritchie Key|Data Entry
217,Negerhollands,,Robin Sabino|Author;Robin Sabino|Data Entry;Mrs. Alice Stevens|Consultant
218,Jamaican Creole (Limonese Creole dialect),,Anita Hertzfeld|Author;Franklin Perry|Author;Robin Sabino|Data Entry
219,Basque,,Jean-Baptiste Coyos|Author;Mary Ritchie Key|Data Entry;Etchebarne-Harrixuri family|Consultant;Etchebarne Battitta family|Consultant;Estécahandy-Halbide family|Consultant;Mrs. Coyos (mother of J.-B. Coyos)|Consultant
220,Hausa,,Ronald Cosper|Author;George B. Loveridge|Data Entry;Hilary Young|Data Entry;Garba Mohammed Gital|Consultant
221,Polci,,Ronald Cosper|Author;George B. Loveridge|Data Entry;Hilary Young|Data Entry;Musa Waje|Consultant;Abdu Sabo|Consultant
222,Nahuatl (Sierra de Zacapoaxtla variety),,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry;Field work: 1948-1955|Consultant
223,Chatino (Zacatepec variety),,Leslie G. Pride and Kitty Pride|Author;Mary Ritchie Key|Data Entry
224,Karok,,William Bright|Author;Iris Audova|Data Entry;Piret Klesment|Data Entry
