name,lg_id,what_did_id,contact
S. J. Juozas Vaišnys,196,3,
Sigita Plioplys,196,3,
Kazimieras Plečkaitis,196,3,
William R. Schmalsteig,196,3,
Mackayla Infante-Wong,196,1,
buck1949,196,4,
Juris Cibuļs,197,2,
Mary Ritchie Key,197,1,
buck1949,197,4,
William R. Schmalstieg,198,2,
William R. Schmalstieg,198,1,
Mary Ritchie Key,199,1,
Mary Ritchie Key,199,2,
buck1949,199,4,
Cynthia Vakareliyska,200,2,
Kevork Horissian,200,2,
Mary Ritchie Key,200,1,
Andrew R. Corin,201,2,
Mackayla D. Infante-Wong,201,1,
Václav Blažek,202,2,
Mackayla Infante-Wong,202,1,
Stanisław Puppel,203,2,
Mary Ritchie Key,203,1,
Mackayla Infante-Wong,203,1,
Jules F. Levin,204,2,
Mackayla Infante-Wong,204,1,
Leonard Newmark,205,2,
Mary Ritchie Key,205,1,
Dora Sakayan,206,2,
Dora Sakayan,206,1,
Amalia Khatchatrian,206,3,
Dora Sakayan,207,2,
Dora Sakayan,207,1,
Amalia Khatchatrian,207,3,
Carol F. Justus,208,2,
Carol F. Justus,208,1,
Douglas Q. Adams,209,2,
Mary Ritchie Key,209,1,
Mackayla Infante-Wong,209,1,
Douglas Q. Adams,210,2,
Mary Ritchie Key,210,1,
Mackayla Infante-Wong,210,1,
James A. Santucci,211,2,
James A. Santucci,211,1,
Donald Kenrick,212,2,
Mackayla D. Infante-Wong,212,1,
Mary Ritchie Key,213,1,
Mary Ritchie Key,213,2,
buck1949,213,4,
John R. Perry,214,2,
Mary Ritchie Key,214,1,
Herbert H. Paper,214,3,
Piret Klesment,128,1,
Iris Audova,143,1,
Iris Audova,147,1,
Iris Audova,159,1,
Stephen A. Kaufman,215,2,
Stephen A. Kaufman,215,1,
Comprehensive Aramaic Lexicon data files,215,3,
aramaic,215,4,
Václav Blazek,216,2,
Mary Ritchie Key,216,1,
hinz1987;grillot1987,216,4,
Robin Sabino,217,2,
Robin Sabino,217,1,
Mrs. Alice Stevens,217,3,
dejong1926;Nelson1936,217,4,
Anita Hertzfeld,218,2,
Franklin Perry,218,2,
Robin Sabino,218,1,
Jean-Baptiste Coyos,219,2,
Mary Ritchie Key,219,1,
Etchebarne-Harrixuri family,219,3,
Etchebarne Battitta family,219,3,
Estécahandy-Halbide family,219,3,
Mrs. Coyos (mother of J.-B. Coyos),219,3,
Ronald Cosper,220,2,
George B. Loveridge,220,1,
Hilary Young,220,1,
Garba Mohammed Gital,220,3,
newman1990,220,4,
bargery1934,220,4,
Ronald Cosper,221,2,
George B. Loveridge,221,1,
Hilary Young,221,1,
Musa Waje,221,3,
Abdu Sabo,221,3,
Cosper1996,221,4,
Mary Ritchie Key,222,2,
Mary Ritchie Key,222,1,
Field work: 1948-1955,222,3,
key1953,222,4,
Leslie G. Pride and Kitty Pride,223,2,
Mary Ritchie Key,223,1,
William Bright,224,2,
Iris Audova,224,1,
Piret Klesment,224,1,
Stephen A. Marlett,225,2,
Mary B. Moser,225,2,
Mary Ritchie Key,225,1,
"Summer Institute of Linguistics, University of North Dakota",225,3,
Willard Walker,226,2,
Iris Audova,226,1,
Piret Klesment,226,1,
Lynn Nichols 1992,226,3,
Mary Ritchie Key,227,1,
JRS = Swanton,227,3,
tolmie1884,227,4,
John Campbell,227,2,
lawrence1977,227,4,
Mary Ritchie Key,228,1,
Mary Ritchie Key,228,2,
gillian1973,228,4,
gillian1996,228,4,
Mary Ritchie Key,229,1,
Mary Ritchie Key,229,2,
dunn1995,229,4,
Mary Ritchie Key,230,1,
Mary Ritchie Key,230,2,
Sapir1939,230,4,
Mary Ritchie Key,231,1,
Mary Ritchie Key,231,2,
davis1980,231,4,
Mary Ritchie Key,232,1,
Mary Ritchie Key,232,2,
kinkade1991,232,4,
Mary Ritchie Key,233,2,
Mary Ritchie Key,233,1,
"References given in Key, Mary Ritchie 1984",233,3,
blust1988;geraghty1983,233,4,
Mary Ritchie Key,234,2,
Mary Ritchie Key,234,1,
"References given in Key, Mary Ritchie 1984",234,3,
blust1988;geraghty1983,234,4,
Mary Ritchie Key,235,1,
Mary Ritchie Key,235,2,
pukui1975,235,4,
Mary Ritchie Key,236,2,
Mary Ritchie Key,236,1,
biggs1966,236,4,
hohepa1967,236,4,
Mary Ritchie Key,237,1,
Mary Ritchie Key,237,2,
dordillon1931,237,4,
dordillon1932,237,4,
roussel1908,238,4,
englert1978,238,4,
Robert L. Weber,238,2,
Jessica Ellis,238,1,
Mary Ritchie Key,238,1,
Mary Ritchie Key,239,1,
Mary Ritchie Key,239,2,
churchward1940;geraghty1995,239,4,
Mary Ritchie Key,240,1,
Mary Ritchie Key,240,2,
tuinukuafe1992;shumway1971,240,4,
Mary Ritchie Key,241,1,
various,241,2,
stimson1964,241,4,
Roberto Lizarralde (Venezuelan dialect),242,2,
Manuel Lizarralde (Venezuelan dialect),242,2,
Frank Morgan (Colombian  dialect),242,2,
Mary Ritchie Key,242,1,
huber1992,242,4,
María Stella González de Pérez,243,2,
Mary Ritchie Key,243,1,
perez1987,243,4,243
Florence L. Gerdel,244,2,
Mary Ritchie Key,244,1,
slocum1983,244,4,
Ruth Wiebe,245,2,
Neil Wiebe,245,2,
Mary Ritchie Key,245,1,
Santiago Añapa,245,3,
Raúl Añapa,245,3,
Bruce R. Moore,246,2,
Mary Ritchie Key,246,1,
moore1966,246,4,
Mauricio Pardo Rojas,247,2,
Mary Ritchie Key,247,1,
Phillip Lee Harms,248,2,
Eladio Quiro Dura,248,2,
Mary Ritchie Key,248,1,
Larry A. Richardson,249,2,
Mary Ritchie Key,249,1,
Sue Rodman,250,2,
David Rodman,250,2,
Mary Ritchie Key,250,1,
Rodmans' field notes,250,3,
Teresa Ann Dyck,251,2,
Merrill Dyck,251,2,
Mary Ritchie Key,251,1,
Carole Swain,252,2,
Mary Ritchie Key,252,1,
Jacques Lizot,253,2,
Mary Ritchie Key,253,1,
M. Bub Borman,254,2,
Mary Ritchie Key,254,1,
borman1976,254,4,
Field notes,254,3,
M. Catherine Peeke,255,2,
Mary Ritchie Key,255,1,
Mary Ritchie Key,256,2,
Mary Ritchie Key,256,1,
wheeler1962,256,4,
Janet Barnes,257,2,
Mary Ritchie Key,257,1,
Gerardo Wipio Deicat,258,2,
Mary Ritchie Key,258,1,
Esther Powlison,260,2,
Paul S. Powlison,260,2,
Mary Ritchie Key,260,1,
powlison1995,260,4,
Mary Ritchie Key,261,2,
Mary Ritchie Key,261,1,
baptistawallin,261,4,
Jesús Olza Zubiri,262,2,
Miguel Angel Jusayú,262,2,
José Alvarez (commentary),262,2,
Mary Ritchie Key,262,1,
Mary Ritchie Key,263,2,
Mary Ritchie Key,263,1,
Mary Ritchie Key,263,2,
Mary Ritchie Key,263,1,
"Ott's material, and Ott correspondence",263,3,
ott1983,263,4,
Mary Ritchie Key,264,2,
Mary Ritchie Key,264,1,
Matteson,264,4,
nies1986,264,4,
Wayne Gill,265,2,
Ruth Gill,265,2,
Mary Ritchie Key,265,1,
gill1983,265,4,
Frances V. Tracy,266,2,
Colette Melville,266,2,
Olive Williams,266,2,
Mary Ritchie Key,266,1,
Joan Richards,267,2,
Mary Ritchie Key,267,1,
Mary Ritchie Key,268,2,
Mary Ritchie Key,268,1,
Jorge Carlos Mosonyi,268,3,
Mosonyi1987,268,4,
Félix Layme Pairumani,269,2,
Mary Ritchie Key,269,1,
Frances Olson,270,2,
Ronald D. Olson,270,2,
Mary Ritchie Key,270,1,
Andrés A. Pérez Diez,271,2,
Mary Ritchie Key,271,1,
Mary Ritchie Key,272,2,
Mary Ritchie Key,272,1,
Pitman1981,272,4,
Donald Pitman,272,3,
Mary Pitman,272,3,
key1968,272,4,NULL
Mary Ritchie Key,273,2,
Mary Ritchie Key,273,1,
Mary Ritchie Key,274,2,
Mary Ritchie Key,274,1,
Wyma1962,274,4,
key1958-1964,274,4,
shoemaker,274,4,
María Clotilde Chavarría Mendoza,275,2,
Mary Ritchie Key,275,1,
Mary Ritchie Key,276,2,
Mary Ritchie Key,276,1,
vanwynen1962,276,4,
ottaviano1989,276,4,
Mary Ritchie Key,277,2,
R. Michael Tugwell,277,2,
R. Michael Tugwell,277,1,
Mary Ritchie Key,277,1,
Shell1959,277,4,
Shell1965,277,4,
shell1987,277,4,
"Gerald Raymond Kennell, Jr.",278,2,
Mary Ritchie Key,278,1,
Mary Ritchie Key,279,2,
Marian Prost,279,2,
Mary Ritchie Key,279,1,
Prost,279,4,
Mary Ritchie Key,280,1,
Jeanne East,280,3,
Guy East,280,3,
Mary Ritchie Key,280,2,
East,280,4,
Mary Ritchie Key,281,2,
Mary Ritchie Key,281,1,
loriot1993,281,4,
Ivagene Shive,282,2,
Mary Ritchie Key,282,1,
Mary Ritchie Key,283,2,
Mary Ritchie Key,283,1,
KeyHarold,283,4,
Mary Ritchie Key,284,2,
Mary Ritchie Key,284,1,
camp1967,284,4,
Robert A. Judy,285,2,
Mary Ritchie Key,285,1,
judy1962,285,4,
Misión Nuevas Tribus,286,2,
Mary Ritchie Key,286,1,
Mary Ritchie Key,287,1,
Mary Ritchie Key,287,2,
crofts1981,287,4,
Claudia J. Heckart,288,2,
Kim Hill,288,2,
Mary Ritchie Key,288,1,
Wolf Dietrich,289,2,
Mary Ritchie Key,289,1,
Celsa Dávalos de Céspedes,290,2,
Natalia Krivoshein de Canese,290,2,
